Velo,SpinRate,HorzBreak,InducedVertBreak,InPlayProbability
93.76,2356.0,9.5,16.61,0.2557399
93.07,2450.0,3.11,16.04,0.23467329
94.99,2541.0,13.25,17.8,0.31485307
95.49,2400.0,7.38,14.16,0.21443193
94.82,2538.0,15.16,9.42,0.33790594
92.41,2288.0,12.82,16.42,0.30562294
93.34,2113.0,11.46,15.13,0.29295316
95.29,1836.0,3.34,14.34,0.3158106
95.29,2582.0,10.51,20.09,0.19198966
87.81,2174.0,13.33,13.61,0.2520469
90.93,2437.0,1.64,25.53,0.24858323
93.83,2067.0,6.62,17.77,0.23579465
91.66,2232.0,1.41,20.0,0.22719184
95.73,2462.0,14.35,14.66,0.3156156
89.94,2310.0,18.41,16.98,0.2310176
93.03,2480.0,8.87,17.02,0.24785356
92.38,2132.0,14.34,9.21,0.38767144
93.92,2294.0,9.1,19.55,0.19426663
96.14,2134.0,12.14,14.99,0.29986715
97.3,2393.0,10.53,16.83,0.23079297
90.91,2069.0,16.27,9.02,0.29721034
95.09,2434.0,10.88,18.71,0.2636459
94.16,2199.0,20.66,10.69,0.20891373
91.91,2135.0,15.66,8.5,0.36604455
95.56,1989.0,18.83,9.04,0.27642813
92.17,2224.0,8.2,16.33,0.26009873
91.16,2146.0,14.98,17.96,0.32780978
93.28,2074.0,13.23,9.68,0.33912915
97.7,2477.0,6.23,16.61,0.21443193
92.17,2266.0,3.19,19.88,0.21094923
93.79,2544.0,4.16,16.86,0.2334691
95.96,2534.0,14.36,10.7,0.2983326
92.69,2189.0,8.4,9.55,0.3414152
93.49,2398.0,3.45,10.97,0.2945322
89.41,2183.0,14.83,12.44,0.29613736
93.79,2261.0,5.62,19.85,0.1902937
91.82,2016.0,14.92,8.29,0.35038263
93.18,2226.0,14.53,8.82,0.33381063
94.14,2474.0,12.61,16.47,0.30562294
95.61,2225.0,12.88,15.95,0.29403555
95.78,2204.0,15.94,10.09,0.27099937
93.44,2077.0,1.27,16.75,0.2677541
92.47,2091.0,5.59,16.63,0.26551032
94.8,2339.0,15.02,17.12,0.31485307
91.77,2472.0,-0.63,14.15,0.2795372
94.5,2033.0,15.58,13.09,0.29182655
96.88,2340.0,8.34,15.18,0.21443193
92.56,1904.0,13.44,9.82,0.41758943
99.9,2137.0,12.49,5.47,0.33610818
89.57,2278.0,5.12,16.08,0.2334065
91.78,2191.0,9.25,16.09,0.2811448
93.32,2054.0,5.39,15.93,0.25243708
96.84,2246.0,11.0,14.09,0.26522675
92.33,2259.0,14.71,11.06,0.36075628
93.68,2507.0,0.35,14.83,0.22218597
96.56,2398.0,9.14,18.59,0.21310943
95.67,2268.0,7.44,16.18,0.21443193
94.14,2040.0,17.91,8.71,0.2958484
94.68,1860.0,14.45,9.77,0.40587777
92.61,1876.0,17.58,-6.33,0.27855194
94.81,2121.0,12.85,11.06,0.35575986
91.74,2491.0,-0.55,10.24,0.22651994
96.06,2113.0,10.62,10.88,0.28447935
91.79,2073.0,12.12,15.01,0.3183763
93.64,2066.0,5.87,16.29,0.24342148
95.2,2045.0,15.77,9.69,0.31859002
95.82,2388.0,4.86,19.2,0.22098745
92.78,1935.0,19.37,4.62,0.28157777
92.52,2329.0,6.2,13.44,0.25786158
94.79,2187.0,8.15,16.87,0.24829227
94.37,2246.0,4.62,18.51,0.23497802
90.34,1917.0,5.51,12.14,0.36740577
92.12,2498.0,3.91,20.77,0.20011543
94.12,1996.0,6.45,10.33,0.35156494
89.38,2162.0,8.89,12.15,0.28175786
95.16,2247.0,9.64,17.1,0.25789422
92.73,2112.0,12.97,4.68,0.3878671
90.19,2124.0,12.23,6.36,0.3748683
94.3,2470.0,8.19,17.72,0.2334691
94.53,2054.0,17.8,9.3,0.31539118
94.26,2145.0,6.28,13.85,0.27368036
96.19,2278.0,5.91,14.3,0.21443193
96.26,2152.0,13.38,11.82,0.36614713
97.11,2167.0,8.85,14.13,0.24257785
96.5,2546.0,3.06,18.3,0.19463615
94.45,2278.0,4.59,8.49,0.31339395
88.24,2185.0,3.07,21.57,0.32803205
90.6,2274.0,13.6,15.64,0.35899964
91.99,2412.0,9.0,20.8,0.21301597
95.37,2076.0,13.53,10.27,0.33446094
96.35,2233.0,8.29,19.09,0.20885098
92.98,2064.0,8.22,14.38,0.25243708
94.29,2260.0,11.04,16.15,0.2774043
96.65,2131.0,6.2,13.07,0.24462625
94.2,2428.0,9.35,17.29,0.24785356
91.93,2274.0,12.25,13.44,0.32501614
92.26,2170.0,3.14,15.02,0.258713
87.5,,12.13,9.98,0.19545302
98.67,2187.0,19.67,5.42,0.2177368
90.73,2287.0,5.73,15.32,0.2707132
95.97,2209.0,9.12,16.76,0.24257785
93.82,2171.0,3.87,13.61,0.27368036
94.5,2137.0,11.56,14.97,0.2830383
93.92,2149.0,6.33,17.92,0.24829227
91.62,2292.0,-1.53,13.78,0.26221496
94.79,2256.0,4.19,14.94,0.2509012
90.04,2140.0,6.21,13.17,0.30379054
93.15,2494.0,11.3,13.64,0.2992956
95.86,1995.0,14.76,5.95,0.341932
94.62,2402.0,9.35,17.95,0.24785356
97.18,2714.0,8.99,9.06,0.1335151
93.71,2505.0,2.79,19.69,0.17705922
93.37,2195.0,2.65,20.35,0.18918481
92.72,1976.0,15.64,-0.96,0.32145482
93.99,2516.0,4.19,17.88,0.2334691
92.91,2302.0,11.55,17.55,0.27242243
91.68,2093.0,6.16,16.87,0.257427
93.47,1884.0,17.38,2.74,0.31784645
94.43,2104.0,5.57,19.44,0.19463503
92.78,2124.0,14.84,10.04,0.38767144
96.41,2358.0,5.29,16.62,0.21443193
96.98,2345.0,15.0,17.21,0.3066436
95.29,2312.0,9.14,15.98,0.2557399
90.33,2184.0,13.99,9.22,0.34236193
94.68,2391.0,10.17,19.24,0.27447593
93.59,2062.0,14.72,4.94,0.33945724
95.74,2255.0,2.68,19.22,0.22410244
92.1,2114.0,1.83,17.39,0.269029
94.73,2106.0,4.28,16.87,0.24829227
97.66,2463.0,8.53,14.4,0.21443193
93.21,1896.0,13.81,5.09,0.39660043
96.37,2172.0,7.56,17.85,0.22111277
94.81,2074.0,13.8,12.13,0.3391042
88.06,2128.0,11.04,10.09,0.35298982
94.28,2224.0,11.17,16.96,0.26909152
97.44,2427.0,12.29,4.26,0.3517678
93.88,3024.0,11.38,13.43,0.4530863
93.16,2354.0,8.02,19.23,0.24815647
94.18,2573.0,5.16,19.04,0.21317683
92.18,2099.0,5.01,17.84,0.257427
95.2,2315.0,11.05,14.42,0.28079864
92.29,2279.0,5.54,10.35,0.2945322
97.34,2447.0,7.82,17.31,0.2074644
96.15,2335.0,16.9,10.99,0.30395013
95.71,1966.0,14.75,9.33,0.35787362
94.3,2162.0,16.84,4.23,0.3258542
94.36,2209.0,7.05,15.3,0.2561878
98.18,2365.0,4.7,20.34,0.17804754
95.48,2342.0,11.02,17.82,0.24345708
96.55,2552.0,10.01,15.86,0.22799234
94.88,2415.0,3.8,15.99,0.24104442
94.48,2182.0,17.58,8.8,0.2864159
92.43,2083.0,3.33,15.54,0.258713
94.42,2257.0,6.86,15.19,0.2509012
90.92,2314.0,10.5,13.03,0.28482035
91.84,2489.0,12.45,13.48,0.32501614
90.4,1979.0,7.02,19.52,0.40973356
94.04,2292.0,13.71,14.71,0.32395303
95.17,2573.0,3.15,19.73,0.16676664
93.49,2245.0,6.7,15.42,0.2509012
93.4,2709.0,2.54,11.02,0.20900258
96.98,2156.0,15.67,3.45,0.33333242
91.7,1985.0,6.88,21.07,0.40961784
95.58,2512.0,9.0,20.47,0.17716958
92.64,2311.0,6.5,17.39,0.2334691
96.81,2246.0,9.0,16.31,0.23748246
93.77,1994.0,3.47,14.47,0.3241386
95.11,2264.0,11.82,14.02,0.2957696
93.31,2134.0,5.91,14.58,0.26551032
97.6,2250.0,14.17,14.02,0.331587
89.98,2227.0,8.5,10.29,0.28058383
88.43,2170.0,15.2,12.37,0.32320768
99.44,2290.0,20.84,6.38,0.46311963
93.78,2204.0,11.44,12.98,0.30162093
92.52,2038.0,6.31,18.71,0.23644722
95.22,2372.0,4.24,18.43,0.22555837
92.55,2078.0,8.79,16.39,0.2811448
90.43,2212.0,9.54,4.86,0.31608936
92.44,2219.0,3.87,4.98,0.3356382
92.09,2283.0,3.96,17.89,0.2334691
95.34,2522.0,6.91,15.24,0.21443193
87.78,2285.0,9.94,18.68,0.2306423
99.0,2152.0,8.51,18.53,0.14826965
95.23,2530.0,8.02,12.03,0.2921106
92.87,2257.0,1.41,16.39,0.271777
96.48,2266.0,13.85,12.62,0.31330675
98.05,2114.0,17.05,10.36,0.30900678
95.81,2299.0,13.23,14.33,0.25583118
90.35,2217.0,13.37,15.77,0.28908056
92.07,2507.0,7.09,4.23,0.31339395
93.31,2235.0,11.97,14.05,0.30594012
92.86,2107.0,8.93,15.16,0.2811448
95.03,2337.0,6.5,19.06,0.22555837
96.51,2168.0,14.63,15.04,0.31801015
94.86,2320.0,6.62,17.36,0.2334691
96.19,2355.0,0.95,19.84,0.17443085
94.02,2218.0,14.85,15.01,0.32026932
94.34,2054.0,2.23,6.77,0.24608366
94.41,2241.0,9.36,17.47,0.25789422
98.67,2459.0,15.59,12.4,0.2440671
98.06,2462.0,9.97,13.58,0.26016912
84.66,1840.0,2.44,10.99,0.43566892
95.38,2275.0,8.26,15.53,0.21443193
90.05,2060.0,16.25,7.45,0.30962446
91.31,2407.0,11.08,16.78,0.28079864
96.55,2678.0,14.19,6.25,0.25240266
92.63,2172.0,9.28,16.11,0.2811448
89.84,2008.0,12.99,15.56,0.3343041
92.99,2130.0,-0.83,16.24,0.34265673
92.51,2165.0,11.48,8.29,0.3598242
95.68,2544.0,9.06,18.7,0.21310943
94.35,1969.0,2.96,19.66,0.31708512
92.96,2485.0,4.09,18.73,0.22555837
93.4,2176.0,17.37,7.29,0.3102368
92.11,2100.0,6.88,14.18,0.26551032
98.44,2244.0,20.98,5.3,0.6081109
94.56,2305.0,5.94,18.29,0.22555837
89.67,1906.0,16.88,-1.44,0.28196388
95.15,2262.0,3.02,18.82,0.2287189
93.83,2061.0,9.46,10.7,0.31393415
95.36,2322.0,1.28,21.28,0.21209186
95.92,2597.0,8.96,18.48,0.20123371
91.56,2268.0,15.36,14.35,0.3024583
86.26,1856.0,12.26,8.51,0.35230583
93.5,2222.0,17.0,8.95,0.280741
94.29,1960.0,7.3,14.9,0.26957366
94.64,3242.0,18.53,0.83,0.48280802
94.93,2212.0,13.75,15.44,0.32638067
95.75,2088.0,19.56,10.76,0.24771653
99.34,2020.0,14.48,6.05,0.32136407
95.58,2088.0,8.19,19.08,0.21350409
93.72,2414.0,16.65,14.26,0.2758711
97.87,2629.0,6.2,18.78,0.20220163
92.67,2281.0,0.21,22.1,0.119832024
96.8,2157.0,17.34,10.97,0.29121092
94.76,2111.0,15.19,12.37,0.3277365
93.17,2299.0,3.97,16.03,0.24104442
92.83,2043.0,7.57,14.75,0.25243708
94.64,2247.0,14.7,14.95,0.32026932
92.97,1903.0,8.28,11.92,0.30209386
98.95,2306.0,16.01,11.81,0.21745867
91.4,2262.0,12.37,19.1,0.29405332
93.96,1999.0,11.29,11.22,0.35753173
91.25,2297.0,8.02,17.22,0.2334691
90.41,2293.0,5.93,16.36,0.2334065
93.83,2560.0,6.35,17.88,0.2334691
93.42,2290.0,5.8,18.35,0.22555837
94.78,2213.0,8.23,18.46,0.23497802
95.42,2496.0,13.74,14.54,0.3156156
92.59,2175.0,15.75,13.0,0.28916225
95.39,2231.0,12.7,14.61,0.29403555
94.46,2308.0,13.43,17.31,0.31485307
96.37,2511.0,8.58,18.2,0.20441237
89.99,2053.0,12.05,5.03,0.35904264
91.33,2313.0,6.49,15.63,0.24104442
96.57,2549.0,9.88,17.62,0.220708
93.5,2264.0,13.08,8.36,0.36991623
97.13,2234.0,12.56,16.34,0.29403555
92.57,2355.0,2.25,18.25,0.17053732
95.24,2203.0,11.43,15.21,0.2830383
95.66,1982.0,3.45,11.01,0.3384923
95.81,2328.0,3.32,14.95,0.20857091
94.05,2070.0,4.41,14.6,0.2561878
95.24,2345.0,11.29,14.97,0.28079864
88.52,1897.0,11.63,5.71,0.38480285
96.13,2225.0,9.06,16.72,0.23748246
95.99,2318.0,8.57,12.65,0.23460454
94.07,2302.0,11.7,13.1,0.2992956
96.77,2344.0,11.34,11.66,0.2822328
91.98,2100.0,2.9,13.32,0.27631396
97.23,2033.0,7.35,18.46,0.20228632
92.59,2068.0,15.68,4.28,0.35038263
93.18,2317.0,13.81,15.7,0.32395303
95.23,2211.0,18.39,5.99,0.2981227
96.01,2434.0,7.88,17.44,0.2074644
94.61,2026.0,11.91,15.69,0.2694186
89.67,2051.0,17.08,12.6,0.2645035
94.77,2509.0,11.16,15.5,0.28079864
92.13,2120.0,17.21,10.09,0.2854377
91.98,2177.0,5.02,19.38,0.22164033
91.62,2091.0,-0.82,17.83,0.33329043
94.46,2399.0,2.5,18.81,0.2194782
91.82,2263.0,8.88,19.23,0.2832839
93.64,2153.0,8.18,17.83,0.24829227
94.27,2258.0,5.29,16.28,0.2509012
93.25,2524.0,4.97,19.36,0.20011543
95.53,2099.0,12.29,15.01,0.29986715
95.01,2175.0,14.94,11.72,0.3750879
92.52,2183.0,5.19,19.86,0.22164033
97.1,2063.0,6.75,16.18,0.21662146
95.45,2237.0,9.16,19.94,0.18505123
91.49,2320.0,-1.89,18.38,0.22953518
94.23,2025.0,10.7,15.77,0.2694186
90.74,2171.0,15.11,12.22,0.38627976
93.21,1857.0,5.8,15.18,0.30144414
94.78,1845.0,13.12,-2.51,0.3305625
93.66,2228.0,13.55,12.24,0.3328723
95.07,2203.0,17.74,10.66,0.2991855
91.11,2068.0,11.48,12.26,0.30827045
93.46,2338.0,12.02,16.27,0.28079864
92.98,2039.0,15.47,8.17,0.35038263
93.4,2164.0,3.23,18.08,0.23368387
98.47,2120.0,17.99,5.64,0.32270756
97.76,2518.0,11.14,17.25,0.24345708
95.58,2659.0,7.56,19.85,0.12629336
97.04,2268.0,6.7,18.19,0.20020466
95.71,2433.0,16.76,11.04,0.30395013
93.77,2547.0,3.6,20.56,0.18223862
92.92,2410.0,4.99,19.43,0.20011543
94.9,2235.0,11.05,16.3,0.2774043
90.19,2095.0,8.94,16.19,0.2701442
91.59,2348.0,13.46,15.96,0.32395303
91.03,2196.0,13.24,7.74,0.3881782
93.4,2417.0,2.18,18.03,0.1769593
99.22,2463.0,12.88,17.29,0.20666236
95.92,2381.0,7.27,15.67,0.21443193
90.61,2080.0,15.1,9.24,0.42527503
93.58,1986.0,19.2,13.56,0.26084763
91.71,2079.0,14.89,11.94,0.36506733
94.17,2118.0,6.39,13.39,0.27368036
96.08,2059.0,14.93,10.09,0.2832747
96.07,2605.0,10.54,17.33,0.21820505
98.52,2509.0,6.16,19.92,0.13272287
95.11,2252.0,18.75,10.45,0.27677855
94.56,2546.0,-0.02,20.73,0.13518773
92.27,2109.0,10.2,18.7,0.2753421
97.11,2475.0,5.51,19.45,0.16598205
96.81,2388.0,16.78,8.22,0.30287775
95.63,2362.0,5.09,16.33,0.21443193
95.26,2070.0,13.04,15.24,0.30797577
95.57,2288.0,1.99,20.91,0.17443085
88.02,1742.0,14.57,10.75,0.3242261
97.57,2444.0,4.39,17.02,0.2074644
94.27,2363.0,4.56,19.21,0.24815647
97.25,2238.0,8.58,14.51,0.22807904
98.68,2424.0,3.3,19.32,0.12872921
87.42,1852.0,15.43,11.5,0.3325261
95.47,2588.0,10.44,17.7,0.21820505
94.84,2400.0,6.21,15.41,0.24104442
100.77,1822.0,13.36,4.85,0.16438092
93.69,2411.0,10.39,16.43,0.26687738
92.93,2083.0,18.29,14.22,0.28789768
94.79,2405.0,8.99,18.35,0.23960781
95.35,1981.0,4.83,16.07,0.26170817
92.29,2264.0,3.64,20.32,0.21685879
93.63,2166.0,8.0,17.48,0.24829227
92.5,2090.0,10.29,18.28,0.2753421
90.59,2008.0,14.91,9.02,0.4062359
94.46,2283.0,10.57,15.88,0.28079864
94.08,2394.0,6.49,17.37,0.2334691
99.03,2530.0,5.33,18.27,0.1383191
94.11,2643.0,12.24,17.73,0.2819429
94.78,2223.0,2.02,18.65,0.24590331
93.51,2161.0,14.39,9.89,0.37625676
93.88,2523.0,5.21,17.21,0.2334691
94.24,2225.0,7.09,15.95,0.2509012
97.37,2201.0,11.09,13.5,0.270706
94.15,2019.0,15.74,3.22,0.33945724
95.24,2131.0,9.31,16.63,0.27147615
94.43,1960.0,15.16,11.23,0.35983688
94.57,2093.0,14.23,14.47,0.32638067
95.85,2689.0,3.36,16.83,0.13172962
95.57,2210.0,11.56,17.14,0.2455006
95.2,1964.0,4.32,14.98,0.30028394
96.32,2363.0,2.93,10.31,0.24651022
95.15,2229.0,17.3,10.06,0.3117234
93.36,2163.0,7.93,17.94,0.24829227
93.26,2041.0,16.24,6.35,0.3215245
92.79,2430.0,11.91,12.12,0.31013188
90.16,2071.0,16.76,12.04,0.37121695
90.74,2350.0,13.08,17.56,0.33035702
92.08,2321.0,6.31,15.59,0.24104442
92.17,2233.0,16.35,12.54,0.28345454
92.46,2148.0,14.33,15.66,0.33709994
87.45,1895.0,11.61,6.4,0.3062165
91.65,2465.0,13.71,13.99,0.34393325
92.25,1652.0,8.34,12.01,0.38308603
91.39,1993.0,2.14,17.17,0.25415295
91.13,1852.0,11.51,7.63,0.38895825
92.31,2342.0,14.26,5.9,0.37416363
90.02,2001.0,19.15,-4.54,0.22706722
95.27,2120.0,19.46,3.7,0.25396585
90.58,2606.0,-1.44,20.42,0.27739257
93.9,2201.0,15.19,13.56,0.3277365
93.03,2170.0,8.13,15.78,0.26551032
93.49,2337.0,11.62,14.35,0.28079864
98.06,2307.0,8.42,18.59,0.21411917
94.69,2249.0,11.07,7.68,0.34244516
95.43,2328.0,17.03,7.01,0.2878913
98.42,2505.0,4.56,16.85,0.2602672
95.27,2234.0,12.97,7.66,0.35667676
96.62,2277.0,14.01,11.13,0.3320028
90.44,2275.0,14.91,5.89,0.30910257
95.24,2581.0,7.63,18.19,0.21317683
92.24,2292.0,15.39,17.32,0.29369983
90.93,2288.0,6.73,10.53,0.2945322
96.83,1868.0,8.7,14.91,0.26616573
93.87,2112.0,17.42,11.09,0.31132364
86.06,1971.0,-2.96,11.75,0.45767877
95.82,2186.0,17.8,6.21,0.2901647
93.78,2361.0,14.23,13.06,0.32530364
92.76,2351.0,5.1,19.36,0.20011543
93.76,2420.0,17.41,6.95,0.30787438
93.61,2073.0,4.12,17.82,0.24829227
94.97,1988.0,12.03,16.51,0.30962408
90.69,2474.0,6.77,20.56,0.25250095
88.66,1791.0,14.91,7.91,0.41260663
93.61,2030.0,8.95,14.57,0.25821245
87.21,1881.0,14.36,12.58,0.30518723
97.04,2537.0,7.45,12.89,0.20348151
90.48,2138.0,13.01,12.87,0.32596424
90.53,2148.0,3.96,16.32,0.25736007
89.36,2257.0,1.24,21.89,0.31412527
95.86,2381.0,7.75,17.7,0.2074644
98.28,2555.0,7.5,18.96,0.21411917
96.86,2153.0,5.7,13.64,0.24462625
92.61,2036.0,13.59,13.08,0.3233938
94.77,2514.0,10.79,11.61,0.29300597
92.87,2528.0,-2.0,12.84,0.20481974
97.89,1973.0,18.27,7.77,0.31143752
96.09,2240.0,15.65,14.05,0.30981788
96.55,2211.0,2.67,17.54,0.21511914
96.0,2412.0,11.16,17.71,0.24345708
93.01,2341.0,9.89,19.17,0.26313522
92.44,2219.0,6.1,14.32,0.26009873
97.75,2221.0,11.76,18.38,0.23228978
97.78,2100.0,16.13,10.22,0.3062958
87.87,1909.0,14.48,5.51,0.33254054
91.71,2172.0,7.9,18.4,0.24896817
87.74,2170.0,10.3,13.86,0.22990006
97.15,2168.0,5.25,15.46,0.22840658
90.52,2370.0,6.0,17.98,0.22599974
94.04,2315.0,3.12,20.28,0.17705922
95.89,2054.0,7.26,6.09,0.27288324
93.53,2341.0,15.48,12.21,0.3146849
97.17,2146.0,3.92,14.57,0.22840658
95.51,2177.0,8.57,16.14,0.23303428
95.76,2544.0,10.12,12.67,0.22649015
91.88,2069.0,10.47,16.44,0.27904204
96.72,2249.0,11.65,16.04,0.24808986
96.21,2432.0,14.25,19.16,0.32398862
90.98,1975.0,11.74,13.99,0.33991516
93.89,2514.0,0.19,20.0,0.16696878
96.27,2287.0,14.4,14.09,0.33533666
95.32,2246.0,9.96,17.25,0.23684338
93.26,2166.0,10.92,14.99,0.29295316
90.87,2216.0,6.97,2.0,0.3356382
92.31,2215.0,10.1,15.16,0.275534
63.18,1509.0,-3.01,17.7,0.4559777
94.03,2516.0,5.67,21.32,0.22113384
95.48,2027.0,16.89,6.53,0.2909649
89.97,1888.0,14.0,7.31,0.40476653
95.75,2137.0,7.92,14.87,0.22840658
92.13,2113.0,14.14,9.37,0.38767144
93.7,2437.0,9.4,15.8,0.2557399
90.66,2190.0,16.08,4.27,0.37222457
92.67,2295.0,5.24,21.2,0.2416984
94.76,2215.0,17.34,13.73,0.2737367
91.67,2094.0,10.71,13.88,0.31190354
95.43,1920.0,16.92,7.19,0.332226
89.92,1826.0,15.23,8.93,0.35577866
99.48,2430.0,-3.84,16.13,0.2337281
95.79,2462.0,2.84,20.56,0.1611736
95.67,2217.0,7.97,13.34,0.23950142
96.68,2297.0,10.15,16.72,0.2383084
98.34,2015.0,14.47,4.79,0.40821707
93.94,2299.0,11.37,11.46,0.32635456
94.94,2219.0,16.87,11.41,0.3085094
93.16,2084.0,15.69,1.06,0.40395707
96.99,2156.0,14.5,11.39,0.33446094
92.52,2123.0,10.85,16.72,0.29295316
93.93,2421.0,17.83,10.74,0.30895662
94.97,2365.0,11.71,18.19,0.2636459
94.84,2394.0,8.97,11.32,0.31115174
97.69,1870.0,18.3,3.52,0.29749435
96.09,2319.0,8.16,18.78,0.20020466
92.02,2406.0,6.01,21.21,0.2416984
96.23,2103.0,14.85,9.91,0.3541061
96.69,2035.0,6.85,15.07,0.21662146
96.05,2343.0,15.62,9.54,0.35157984
93.52,1799.0,5.32,7.64,0.37142152
92.02,2053.0,5.51,15.25,0.25243708
92.36,2354.0,7.34,18.52,0.22555837
94.34,2395.0,4.76,16.62,0.24104442
84.58,2056.0,14.11,-9.28,0.21696706
91.48,2351.0,16.8,4.86,0.32342857
92.35,2340.0,9.1,20.24,0.21301597
98.42,2363.0,4.49,18.84,0.25174668
90.83,2192.0,5.02,17.78,0.257427
90.34,1944.0,7.01,14.48,0.37565744
93.44,2056.0,3.6,15.37,0.24342148
91.14,2459.0,-0.23,19.35,0.14929165
92.31,1970.0,5.88,15.23,0.2792005
100.19,1997.0,14.43,7.24,0.36544386
89.95,2107.0,18.74,0.61,0.3258704
94.23,2131.0,6.86,17.92,0.24829227
92.94,2192.0,0.57,19.57,0.23213367
90.56,2053.0,18.08,9.63,0.36107013
93.68,2159.0,4.93,16.71,0.2561878
97.4,2452.0,2.53,17.39,0.2017449
88.84,2001.0,16.01,9.85,0.40434927
91.12,2285.0,11.73,15.49,0.28079864
